FIRM,Class,Start,End,TOD,FIRMF,Length,Night,Gap,WS,Idx,Base,StartAdj,LenAdj,Comp,Trans,Press,P1S,P1L,P2S,P2L,MalAdj,NFZ,WNFZ,AFZ,WAFZ,MFZ,WMFZ,NBad,TIW,RIW,HIW,SIW,CCW
2,0,1050,1825,-1,2,775,1,999,1,1,3.00,0.00,-1.00,0.00,0.00,0.00,2,510,11,0,0,0,1,0,0,0,0,0,510,0,0,1,0.00
5,0,750,1330,-1,5,580,0,999,1,1,6.00,0.00,0.00,0.00,0.00,0.00,5,475,5,595,1,0,0,0,1,0,0,0,1070,0,0,2,0.00
5,1,1350,2050,1470,2,700,0,999,1,1,6.00,0.00,0.00,0.00,-1.00,0.00,1,315,5,630,1,0,1,0,0,0,0,0,945,0,0,2,0.00
-10,0,1195,2125,-1,-10,930,1,735,0,5,3.00,0.00,-6.00,0.00,-3.00,-4.17,-4,780,2,525,0,0,1,0,0,0,0,0,2925,3,1,4,0.00
-4,0,955,1615,-1,-4,660,1,999,0,4,3.00,0.00,0.00,0.00,-4.00,-2.67,-4,780,0,600,1,0,1,0,1,0,0,0,3755,1,3,3,0.00
-10,1,1180,1470,1470,-10,290,0,999,0,12,6.00,0.00,0.00,0.00,-7.00,-14.67,-10,660,-10,480,1,0,0,0,0,0,0,3,2850,1,5,4,0.00
-1,0,701,1510,-1,-1,809,0,781,0,7,6.00,0.00,-0.75,0.00,-1.00,-5.00,1,480,-1,240,0,0,0,0,1,0,0,0,3430,0,0,5,2.50
-4,0,1375,2005,-1,-4,630,1,570,0,4,3.00,0.00,0.00,-2.50,-2.00,-2.67,-1,660,4,720,1,0,1,0,0,0,0,0,2080,0,0,3,2.00
5,1,1180,1470,1470,5,290,0,999,1,1,6.00,0.00,0.00,0.00,-1.00,0.00,-2,480,-1,540,1,0,0,0,0,0,0,0,2370,2,1,1,0.00
5,0,1120,1453,-1,5,333,0,999,1,1,6.00,0.00,0.00,0.00,-1.00,0.00,-3,544,2,304,0,0,0,0,0,0,0,0,2171,3,1,1,0.00
-4,0,1120,1767,-1,-4,647,1,990,0,4,3.00,0.00,0.00,0.00,-4.00,-2.67,1,450,0,510,1,0,1,0,0,0,0,0,1947,3,1,1,0.00
5,1,1120,1470,1470,5,350,0,999,0,2,6.00,0.00,0.00,0.00,0.00,-0.67,5,405,3,444,1,0,0,0,0,0,0,0,2345,1,0,1,0.00
1,0,1120,1666,-1,1,546,1,999,0,2,3.00,0.00,0.00,0.00,-1.00,-1.00,5,384,4,334,0,0,1,0,0,0,0,0,1360,1,0,1,0.00
0,0,1120,1545,-1,0,425,0,787,0,5,6.00,0.00,0.00,0.00,-2.00,-3.67,-1,653,0,489,1,0,0,0,0,0,0,0,2606,1,0,1,0.00
5,1,1120,1470,1470,5,350,0,985,0,2,6.00,0.00,0.00,0.00,0.00,-0.67,5,455,2,463,1,0,0,0,0,0,0,0,2001,1,0,1,0.00
5,0,1005,1560,-1,5,555,0,999,1,1,6.00,0.00,0.00,0.00,0.00,0.00,5,409,4,733,0,0,0,0,0,0,0,0,2342,0,0,2,0.00
2,0,495,1270,-1,2,775,0,999,0,3,6.00,0.00,-0.50,0.00,-2.00,-1.67,1,490,5,465,1,0,0,0,1,0,0,0,2095,1,0,4,0.00
5,1,1005,1775,1470,2,770,0,999,1,1,6.00,0.00,0.00,0.00,-1.00,0.00,2,693,1,684,1,0,1,0,0,0,0,0,1946,0,0,3,0.00
5,0,1005,1550,-1,5,545,0,999,1,1,6.00,0.00,0.00,0.00,0.00,0.00,-1,694,4,693,0,0,0,0,0,0,0,0,2150,0,0,2,0.00
0,0,1035,1599,-1,0,564,1,999,0,3,3.00,0.00,0.00,0.00,-1.00,-2.00,1,685,4,762,1,0,1,0,0,0,0,0,1996,0,0,2,0.00
5,1,1005,1775,1470,2,770,0,999,1,1,6.00,0.00,0.00,0.00,-1.00,0.00,2,693,1,684,1,0,1,0,0,0,0,0,1946,0,0,3,0.00
2,0,1115,1795,-1,2,680,1,875,0,2,3.00,0.00,0.00,0.00,0.00,-1.00,2,585,11,0,0,0,1,0,0,0,0,0,585,0,0,1,0.00
4,0,855,1470,-1,4,615,0,795,0,2,6.00,0.00,0.00,0.00,-1.00,-0.67,5,505,-3,620,1,0,0,0,1,0,0,0,2015,1,1,3,1.50
